date,best_q,best_readout,q98_readout,q37_readout,median_readout,rho_virtual
2026-08-30,19,0.00659180,0.01098633,0.73974609,0.02441406,
2026-08-31,19,0.00659180,0.01098633,0.73974609,0.02441406,
